id,user_desktop,placa_mae,cpu_count,clock_1,clock_2,cpu_media_temperatura,cpu_media_percent,cpu_media_clock,memory_load,memory_use,memory_available,video_card
110,HSL017,"HP 218B",2,2394.6,2394.6,72.5,88.5,2394.6,88.5,5.9,0.8,NULL
111,HSL017,"HP 218B",2,2394.6,2394.6,72.0,70.5,2394.6,88.2,5.9,0.8,NULL
112,HSL017,"HP 218B",2,2394.6,2394.6,72.0,64.85,2394.6,88.0,5.9,0.8,NULL
113,HSL017,"HP 218B",2,1197.3,1197.3,70.0,66.0,1197.3,88.0,5.9,0.8,NULL
114,HSL017,"HP 218B",2,2394.6,2394.6,72.0,74.4,2394.6,87.8,5.8,0.8,NULL
115,HSL017,"HP 218B",2,2394.6,2394.6,72.5,77.55,2394.6,88.3,5.9,0.8,NULL
116,HSL017,"HP 218B",2,2394.6,2394.6,73.5,93.95,2394.6,88.5,5.9,0.8,NULL
117,HSL017,"HP 218B",2,2394.6,2394.6,73.5,86.5,2394.6,88.6,5.9,0.8,NULL
118,HSL017,"HP 218B",2,2394.6,2394.6,73.5,73.65,2394.6,88.6,5.9,0.8,NULL
119,HSL017,"HP 218B",2,2394.6,2394.6,74.0,78.1,2394.6,88.3,5.9,0.8,NULL
120,HSL017,"HP 218B",2,2394.6,2394.6,73.5,69.9,2394.6,88.3,5.9,0.8,NULL
121,HSL017,"HP 218B",2,2394.6,2394.6,74.0,71.1,2394.6,88.3,5.9,0.8,NULL
122,HSL017,"HP 218B",2,2394.6,2394.6,73.0,98.4,2394.6,88.3,5.9,0.8,NULL
123,HSL017,"HP 218B",2,2394.6,2394.6,74.0,92.6,2394.6,88.4,5.9,0.8,NULL
124,HSL017,"HP 218B",2,2394.6,2394.6,74.5,89.1,2394.6,88.5,5.9,0.8,NULL
125,HSL017,"HP 218B",2,2394.6,2394.6,71.5,61.15,2394.6,88.3,5.9,0.8,NULL
126,HSL017,"HP 218B",2,2394.6,2394.6,74.0,54.1,2394.6,88.2,5.9,0.8,NULL
127,HSL017,"HP 218B",2,2394.6,2394.6,74.0,84.0,2394.6,88.3,5.9,0.8,NULL
128,HSL017,"HP 218B",2,2394.6,2394.6,73.0,69.35,2394.6,88.5,5.9,0.8,NULL
129,HSL017,"HP 218B",2,2394.6,2394.6,75.0,89.05,2394.6,88.3,5.9,0.8,NULL
130,HSL017,"HP 218B",2,2394.6,2394.6,74.5,78.7,2394.6,88.2,5.9,0.8,NULL
131,HSL017,"HP 218B",2,2394.6,2394.6,74.0,70.7,2394.6,88.2,5.9,0.8,NULL
132,HSL017,"HP 218B",2,1197.3,2394.6,72.5,55.9,1795.95,88.1,5.9,0.8,NULL
133,HSL017,"HP 218B",2,2394.6,2394.6,74.0,75.2,2394.6,88.1,5.9,0.8,NULL
134,HSL017,"HP 218B",2,2394.6,2394.6,75.5,71.3,2394.6,88.3,5.9,0.8,NULL
135,HSL017,"HP 218B",2,2394.6,2394.6,74.5,83.6,2394.6,88.3,5.9,0.8,NULL
136,HSL017,"HP 218B",2,2394.6,2394.6,75.5,81.45,2394.6,88.3,5.9,0.8,NULL
137,HSL017,"HP 218B",2,2394.6,2394.6,74.5,81.65,2394.6,88.1,5.9,0.8,NULL
138,HSL017,"HP 218B",2,2394.6,2394.6,73.5,78.3,2394.6,88.1,5.9,0.8,NULL
139,HSL017,"HP 218B",2,2394.6,2394.6,75.0,76.95,2394.6,88.4,5.9,0.8,NULL
140,HSL017,"HP 218B",2,2394.6,2394.6,75.0,93.0,2394.6,88.3,5.9,0.8,NULL
141,HSL017,"HP 218B",2,2394.6,2394.6,73.5,66.2,2394.6,88.2,5.9,0.8,NULL
142,HSL017,"HP 218B",2,1197.3,2394.6,74.5,77.55,1795.95,88.2,5.9,0.8,NULL
143,HSL017,"HP 218B",2,2394.6,2394.6,75.5,99.8,2394.6,88.2,5.9,0.8,NULL
144,HSL017,"HP 218B",2,2394.6,2394.6,73.5,89.85,2394.6,88.1,5.9,0.8,NULL
145,HSL017,"HP 218B",2,2394.6,2394.6,75.0,78.3,2394.6,88.5,5.9,0.8,NULL
146,HSL017,"HP 218B",2,2394.6,2394.6,73.0,73.8,2394.6,88.2,5.9,0.8,NULL
147,HSL017,"HP 218B",2,2394.6,2394.6,73.0,73.8,2394.6,88.2,5.9,0.8,NULL
148,HSL017,"HP 218B",2,2394.6,2394.6,73.0,63.3,2394.6,88.4,5.9,0.8,NULL
149,HSL017,"HP 218B",2,2394.6,2394.6,76.0,74.0,2394.6,88.2,5.9,0.8,NULL
150,HSL017,"HP 218B",2,2394.6,2394.6,74.5,88.65,2394.6,88.2,5.9,0.8,NULL
151,HSL017,"HP 218B",2,2394.6,2394.6,76.5,69.95,2394.6,88.3,5.9,0.8,NULL
152,HSL017,"HP 218B",2,2394.6,2394.6,76.0,100.0,2394.6,87.3,5.8,0.8,NULL
153,HSL017,"HP 218B",2,2394.6,2394.6,75.5,100.0,2394.6,88.3,5.9,0.8,NULL
154,HSL017,"HP 218B",2,2394.6,2394.6,76.0,72.25,2394.6,88.3,5.9,0.8,NULL
155,HSL017,"HP 218B",2,2394.6,2394.6,74.0,42.55,2394.6,88.2,5.9,0.8,NULL
156,HSL017,"HP 218B",2,2394.6,2394.6,74.0,56.85,2394.6,88.0,5.9,0.8,NULL
157,HSL017,"HP 218B",2,2394.6,2394.6,74.5,44.5,2394.6,88.0,5.9,0.8,NULL
158,HSL017,"HP 218B",2,2394.6,2394.6,71.0,53.15,2394.6,88.5,5.9,0.8,NULL
159,HSL017,"HP 218B",2,2394.6,2394.6,72.5,59.0,2394.6,88.5,5.9,0.8,NULL
160,HSL017,"HP 218B",2,2394.6,2394.6,72.5,43.45,2394.6,87.9,5.9,0.8,NULL
161,HSL017,"HP 218B",2,2394.6,2394.6,71.5,49.0,2394.6,87.3,5.8,0.8,NULL
162,HSL017,"HP 218B",2,2394.6,2394.6,72.0,27.7,2394.6,87.5,5.8,0.8,NULL
163,HSL017,"HP 218B",2,1197.3,2394.6,70.5,33.8,1795.95,87.4,5.8,0.8,NULL
164,HSL017,"HP 218B",2,2394.6,2394.6,71.5,37.7,2394.6,87.5,5.8,0.8,NULL
165,HSL017,"HP 218B",2,2394.6,2394.6,70.5,43.2,2394.6,88.0,5.9,0.8,NULL
166,HSL017,"HP 218B",2,2394.6,2394.6,72.5,38.5,2394.6,87.6,5.8,0.8,NULL
167,HSL017,"HP 218B",2,2394.6,2394.6,72.5,48.25,2394.6,87.7,5.8,0.8,NULL
168,HSL017,"HP 218B",2,2394.6,2394.6,72.0,34.75,2394.6,88.1,5.9,0.8,NULL
169,HSL017,"HP 218B",2,2394.6,2394.6,73.0,50.4,2394.6,87.9,5.9,0.8,NULL
170,HSL017,"HP 218B",2,2394.6,2394.6,73.5,83.4,2394.6,88.8,5.9,0.7,NULL
171,HSL017,"HP 218B",2,2394.6,2394.6,72.5,47.65,2394.6,88.1,5.9,0.8,NULL
172,HSL017,"HP 218B",2,2394.6,2394.6,73.0,77.95,2394.6,88.4,5.9,0.8,NULL
173,HSL017,"HP 218B",2,2394.6,2394.6,72.5,60.15,2394.6,88.7,5.9,0.8,NULL
174,HSL017,"HP 218B",2,2394.6,2394.6,71.5,44.35,2394.6,88.8,5.9,0.7,NULL
175,HSL017,"HP 218B",2,2394.6,2394.6,73.5,63.5,2394.6,89.9,6.0,0.7,NULL
176,HSL017,"HP 218B",2,2394.6,2394.6,73.5,48.85,2394.6,89.6,6.0,0.7,NULL
177,HSL017,"HP 218B",2,2394.6,2394.6,73.0,61.7,2394.6,89.7,6.0,0.7,NULL
178,HSL017,"HP 218B",2,2394.6,2394.6,74.0,58.2,2394.6,89.8,6.0,0.7,NULL
179,HSL017,"HP 218B",2,2394.6,2394.6,73.0,48.65,2394.6,89.8,6.0,0.7,NULL
180,HSL017,"HP 218B",2,2394.6,2394.6,73.0,64.45,2394.6,89.6,6.0,0.7,NULL
181,HSL017,"HP 218B",2,2394.6,2394.6,74.0,75.6,2394.6,89.7,6.0,0.7,NULL
182,HSL017,"HP 218B",2,2394.6,2394.6,75.5,77.5,2394.6,89.7,6.0,0.7,NULL
183,HSL017,"HP 218B",2,2394.6,2394.6,74.5,82.85,2394.6,89.4,6.0,0.7,NULL
184,HSL017,"HP 218B",2,2394.6,2394.6,73.5,38.25,2394.6,89.0,5.9,0.7,NULL
185,HSL017,"HP 218B",2,2394.6,2394.6,73.5,49.8,2394.6,89.8,6.0,0.7,NULL
186,HSL017,"HP 218B",2,2394.6,2394.6,73.5,73.05,2394.6,89.4,6.0,0.7,NULL
187,HSL017,"HP 218B",2,2394.6,2394.6,73.0,43.0,2394.6,89.3,6.0,0.7,NULL
188,HSL017,"HP 218B",2,2394.6,2394.6,72.0,33.05,2394.6,89.2,5.9,0.7,NULL
189,HSL017,"HP 218B",2,2394.6,2394.6,72.5,45.75,2394.6,88.9,5.9,0.7,NULL
190,HSL017,"HP 218B",2,2394.6,2394.6,73.0,49.0,2394.6,88.8,5.9,0.7,NULL
191,HSL017,"HP 218B",2,2394.6,2394.6,74.0,50.0,2394.6,89.0,5.9,0.7,NULL
192,HSL017,"HP 218B",2,2394.6,2394.6,73.5,51.6,2394.6,89.1,5.9,0.7,NULL
193,HSL017,"HP 218B",2,2394.6,2394.6,74.0,46.7,2394.6,88.8,5.9,0.7,NULL
194,HSL017,"HP 218B",2,2394.6,2394.6,72.5,36.95,2394.6,89.0,5.9,0.7,NULL
195,HSL017,"HP 218B",2,2394.6,2394.6,73.5,42.35,2394.6,89.0,5.9,0.7,NULL
196,HSL017,"HP 218B",2,2394.6,2394.6,71.5,45.1,2394.6,88.8,5.9,0.7,NULL
197,HSL017,"HP 218B",2,2394.6,2394.6,72.0,38.5,2394.6,88.9,5.9,0.7,NULL
198,HSL017,"HP 218B",2,2394.6,2394.6,73.0,44.35,2394.6,89.0,5.9,0.7,NULL
199,HSL017,"HP 218B",2,2394.6,2394.6,72.0,45.7,2394.6,89.0,5.9,0.7,NULL
200,HSL017,"HP 218B",2,2394.6,2394.6,72.5,40.6,2394.6,89.0,5.9,0.7,NULL
201,HSL017,"HP 218B",2,2394.6,2394.6,72.0,45.3,2394.6,89.0,5.9,0.7,NULL
202,HSL017,"HP 218B",2,2394.6,2394.6,71.0,44.15,2394.6,89.0,5.9,0.7,NULL
203,HSL017,"HP 218B",2,2394.6,2394.6,73.0,58.0,2394.6,89.0,5.9,0.7,NULL
204,HSL017,"HP 218B",2,2394.6,2394.6,71.0,65.05,2394.6,89.5,6.0,0.7,NULL
205,HSL017,"HP 218B",2,2394.6,2394.6,72.0,51.8,2394.6,89.3,5.9,0.7,NULL
206,HSL017,"HP 218B",2,2394.6,2394.6,72.5,80.3,2394.6,89.2,5.9,0.7,NULL
207,HSL017,"HP 218B",2,2394.6,2394.6,72.5,79.3,2394.6,89.6,6.0,0.7,NULL
208,HSL017,"HP 218B",2,2394.6,2394.6,72.5,50.0,2394.6,89.1,5.9,0.7,NULL
209,HSL017,"HP 218B",2,2394.6,2394.6,73.0,41.0,2394.6,88.8,5.9,0.7,NULL
210,HSL017,"HP 218B",2,2394.6,2394.6,73.0,59.55,2394.6,89.0,5.9,0.7,NULL
211,HSL017,"HP 218B",2,2394.6,2394.6,72.5,50.4,2394.6,89.1,5.9,0.7,NULL
212,HSL017,"HP 218B",2,2394.6,2394.6,72.0,57.05,2394.6,89.0,5.9,0.7,NULL
213,HSL017,"HP 218B",2,2394.6,2394.6,73.0,59.95,2394.6,88.9,5.9,0.7,NULL
214,HSL017,"HP 218B",2,2394.6,2394.6,72.0,59.0,2394.6,89.5,6.0,0.7,NULL
215,HSL017,"HP 218B",2,2394.6,2394.6,71.0,53.35,2394.6,89.4,6.0,0.7,NULL
216,HSL017,"HP 218B",2,2394.6,2394.6,72.5,54.5,2394.6,89.5,6.0,0.7,NULL
217,HSL017,"HP 218B",2,2394.6,2394.6,72.0,53.9,2394.6,89.2,5.9,0.7,NULL
218,HSL017,"HP 218B",2,2394.6,2394.6,72.0,45.5,2394.6,89.2,5.9,0.7,NULL
219,HSL017,"HP 218B",2,2394.6,2394.6,70.5,46.45,2394.6,89.4,6.0,0.7,NULL
220,HSL017,"HP 218B",2,2394.6,2394.6,72.5,50.8,2394.6,88.7,5.9,0.8,NULL
221,HSL017,"HP 218B",2,2394.5,1197.3,71.0,49.05,1795.9,89.0,5.9,0.7,NULL
222,HSL017,"HP 218B",2,2394.6,2394.6,73.0,59.15,2394.6,89.2,5.9,0.7,NULL
223,HSL017,"HP 218B",2,2394.6,2394.6,71.0,52.7,2394.6,89.2,5.9,0.7,NULL
224,HSL017,"HP 218B",2,2394.6,1197.3,70.0,43.95,1795.95,89.1,5.9,0.7,NULL
225,HSL017,"HP 218B",2,2394.6,2394.6,71.5,40.65,2394.6,88.8,5.9,0.7,NULL
